Title:   The MACHO Project LMC Variable Star Inventory. XII. 
Three Cepheid Variables in Eclipsing Binaries
Authors: The MACHO Collaboration 
===========================================================
Byte-by-byte Description of file: tab1.txt
-----------------------------------------------------------
   Bytes Format Units   Label     Explanations
-----------------------------------------------------------
   1- 13  F13.5  days    HJD	  Heliocentric Julian Date
  15- 21  F7.4   mag     Vmag     V magnitude
  23- 28  F6.1   mag     e_Vmag   error in V magnitude
  31- 34  A5     ---     Source   Source of obervation
-----------------------------------------------------------
2450316.20680 14.6690 0.0150 MACHO
2450319.24530 14.6690 0.0150 MACHO
2450320.29670 14.6780 0.0150 MACHO
2450323.13940 14.6360 0.0160 MACHO
2450328.25980 14.6370 0.0150 MACHO
2450330.27490 14.6900 0.0150 MACHO
2450334.20740 14.6650 0.0150 MACHO
2450336.19160 14.6360 0.0150 MACHO
2450342.19380 14.6150 0.0150 MACHO
2450349.04200 14.6690 0.0160 MACHO
2450350.16040 14.6840 0.0150 MACHO
2450351.12280 14.6490 0.0150 MACHO
2450353.08200 14.6260 0.0160 MACHO
2450354.01760 14.6670 0.0150 MACHO
2450360.09190 14.6840 0.0150 MACHO
2450361.11890 14.6300 0.0150 MACHO
2450367.21100 14.6010 0.0150 MACHO
2450369.05050 14.6780 0.0150 MACHO
2450370.07180 14.7370 0.0150 MACHO
2450371.05560 14.6280 0.0150 MACHO
2450372.04180 14.6070 0.0150 MACHO
2450375.05600 14.6880 0.0150 MACHO
2450377.03640 14.6130 0.0150 MACHO
2450380.08200 14.7690 0.0150 MACHO
2450381.03690 14.6300 0.0160 MACHO
2450385.11220 14.6840 0.0150 MACHO
2450386.16050 14.6190 0.0150 MACHO
2450390.00890 14.6920 0.0150 MACHO
2450396.08980 14.6020 0.0150 MACHO
2450397.20040 14.6140 0.0150 MACHO
2450398.15110 14.6450 0.0150 MACHO
2450400.16270 14.6780 0.0150 MACHO
2450402.14890 14.6040 0.0150 MACHO
2450406.01610 14.6000 0.0150 MACHO
2450407.01540 14.6080 0.0150 MACHO
2450408.05050 14.6360 0.0150 MACHO
2450410.02020 14.6770 0.0150 MACHO
2450411.09680 14.6010 0.0150 MACHO
2450412.09860 14.6270 0.0150 MACHO
2450413.15790 14.6500 0.0160 MACHO
2450417.20600 14.6090 0.0150 MACHO
2450420.01680 14.6750 0.0150 MACHO
2450421.06310 14.6060 0.0150 MACHO
2450423.17550 14.6410 0.0150 MACHO
2450425.02140 14.6670 0.0160 MACHO
2450426.00450 14.6160 0.0150 MACHO
2450426.21440 14.5930 0.0150 MACHO
2450427.06000 14.6360 0.0150 MACHO
2450429.13660 14.6810 0.0150 MACHO
2450432.04260 14.5970 0.0150 MACHO
2450433.07110 14.6350 0.0150 MACHO
2450434.08340 14.6780 0.0150 MACHO
2450438.04470 14.6410 0.0150 MACHO
2450439.08560 14.6780 0.0150 MACHO
2450440.22190 14.6660 0.0150 MACHO
2450449.99700 14.6660 0.0150 MACHO
2450451.18260 14.5980 0.0150 MACHO
2450452.11560 14.6370 0.0150 MACHO
2450454.09690 14.6780 0.0150 MACHO
2450456.17620 14.5990 0.0150 MACHO
2450457.22380 14.5970 0.0180 MACHO
2450463.02630 14.6790 0.0150 MACHO
2450464.21330 14.7870 0.0150 MACHO
2450468.04750 15.2790 0.0150 MACHO
2450471.13540 14.9090 0.0150 MACHO
2450479.22210 14.6950 0.0150 MACHO
2450480.15760 14.6720 0.0150 MACHO
2450485.10190 14.6650 0.0150 MACHO
2450493.14330 14.6490 0.0150 MACHO
2450495.18090 14.6740 0.0150 MACHO
2450498.07290 14.6610 0.0150 MACHO
2450503.22500 14.6620 0.0150 MACHO
2450510.23240 14.6430 0.0150 MACHO
